Date,Open,High,Low,Close,Volume
01/09/2020 00:00,303.7,303.7,303.65,303.65,1998
01/09/2020 00:01,303.65,303.65,303.65,303.65,102
01/09/2020 00:02,303.7,303.7,303.7,303.7,661
01/09/2020 00:03,303.7,303.74,303.7,303.74,481
01/09/2020 00:04,303.74,303.74,303.74,303.74,0
01/09/2020 00:05,303.74,303.82,303.72,303.72,285
01/09/2020 00:06,303.72,303.72,303.72,303.72,0
01/09/2020 00:07,303.72,303.72,303.72,303.72,10
01/09/2020 00:08,303.72,303.8,303.72,303.8,301
01/09/2020 00:09,303.8,303.8,303.8,303.8,1
01/09/2020 00:10,303.8,303.88,303.8,303.88,5317
01/09/2020 00:11,303.88,303.95,303.88,303.95,3376
01/09/2020 00:12,303.95,303.95,303.95,303.95,76
01/09/2020 00:13,303.9,303.9,303.85,303.85,200
01/09/2020 00:14,303.85,303.85,303.83,303.85,330
01/09/2020 00:15,303.83,303.83,303.83,303.83,105
01/09/2020 00:16,303.83,303.83,303.8,303.8,1501
01/09/2020 00:17,303.8,303.84,303.8,303.84,324
01/09/2020 00:18,303.84,303.84,303.84,303.84,29
01/09/2020 00:19,303.84,303.87,303.84,303.87,779
01/09/2020 00:20,303.87,303.87,303.7,303.7,555
01/09/2020 00:21,303.7,303.75,303.7,303.75,151
01/09/2020 00:22,303.75,303.75,303.75,303.75,0
01/09/2020 00:23,303.75,303.75,303.7,303.7,1551
01/09/2020 00:24,303.7,303.7,303.7,303.7,20
01/09/2020 00:25,303.7,303.7,303.7,303.7,30
01/09/2020 00:26,303.7,303.7,303.7,303.7,537
01/09/2020 00:27,303.7,303.7,303.7,303.7,110
01/09/2020 00:28,303.7,303.7,303.6,303.6,964
01/09/2020 00:29,303.6,303.6,303.6,303.6,10
01/09/2020 00:30,303.6,303.6,303.6,303.6,106
01/09/2020 00:31,303.69,303.69,303.69,303.69,336
01/09/2020 00:32,303.69,303.69,303.6,303.6,530
01/09/2020 00:33,303.6,303.6,303.6,303.6,100
01/09/2020 00:34,303.6,303.6,303.6,303.6,50
01/09/2020 00:36,303.6,303.69,303.6,303.69,661
01/09/2020 00:37,303.69,303.7,303.69,303.69,534
01/09/2020 00:38,303.69,303.69,303.69,303.69,1
01/09/2020 00:39,303.69,303.69,303.69,303.69,10
01/09/2020 00:40,303.69,303.69,303.69,303.69,63
01/09/2020 00:41,303.69,303.69,303.68,303.69,600
01/09/2020 00:42,303.69,303.69,303.69,303.69,79
